Nama Budaya,Jenis,Deskripsi,Daerah Asal,Rating,Provinsi
Angklung,Musik,Alat musik bambu khas Sunda yang dimainkan dengan digetarkan.,Bandung,5,Jawa Barat
Wayang Golek,Kesenian,Pertunjukan wayang kayu khas Sunda dengan cerita epik.,Bandung,4.9,Jawa Barat
Jaipong,Tari,Tarian energik khas Jawa Barat dengan musik kendang.,Karawang,3.6,Jawa Barat
Batik Garut,Kerajinan,Batik khas Garut dengan motif elegan dan warna lembut.,Garut,4.5,Jawa Barat
Sisingaan,Tradisi,Pertunjukan mengarak boneka singa di atas bahu.,Subang,4,Jawa Barat
Doclang,Kuliner,Makanan khas Bogor berbasis lontong dengan bumbu kacang.,Bogor,4.8,Jawa Barat
Seren Taun,Tradisi,Upacara adat Sunda sebagai ungkapan syukur atas panen.,Kuningan,3.7,Jawa Barat
Combro,Kuliner,Makanan gorengan berbasis singkong dengan isi oncom.,Bandung,3.7,Jawa Barat
Angklung,Musik,Alat musik bambu khas Sunda yang dimainkan dengan digetarkan.,Bandung,3.7,Jawa Barat
Wayang Golek,Kesenian,Pertunjukan wayang kayu khas Sunda dengan cerita epik.,Bandung,3.7,Jawa Barat
Jaipong,Tari,Tarian energik khas Jawa Barat dengan musik kendang.,Karawang,4.3,Jawa Barat
Batik Garut,Kerajinan,Batik khas Garut dengan motif elegan dan warna lembut.,Garut,4.9,Jawa Barat
Sisingaan,Tradisi,Pertunjukan mengarak boneka singa di atas bahu.,Subang,4.5,Jawa Barat
Doclang,Kuliner,Makanan khas Bogor berbasis lontong dengan bumbu kacang.,Bogor,3.7,Jawa Barat
Seren Taun,Tradisi,Upacara adat Sunda sebagai ungkapan syukur atas panen.,Kuningan,4.4,Jawa Barat
Combro,Kuliner,Makanan gorengan berbasis singkong dengan isi oncom.,Bandung,4,Jawa Barat
Angklung,Musik,Alat musik bambu khas Sunda yang dimainkan dengan digetarkan.,Bandung,4,Jawa Barat
Wayang Golek,Kesenian,Pertunjukan wayang kayu khas Sunda dengan cerita epik.,Bandung,4.4,Jawa Barat
Jaipong,Tari,Tarian energik khas Jawa Barat dengan musik kendang.,Karawang,4.4,Jawa Barat
Batik Garut,Kerajinan,Batik khas Garut dengan motif elegan dan warna lembut.,Garut,3.7,Jawa Barat
Sisingaan,Tradisi,Pertunjukan mengarak boneka singa di atas bahu.,Subang,4.9,Jawa Barat
Doclang,Kuliner,Makanan khas Bogor berbasis lontong dengan bumbu kacang.,Bogor,4.9,Jawa Barat
Seren Taun,Tradisi,Upacara adat Sunda sebagai ungkapan syukur atas panen.,Kuningan,4.1,Jawa Barat
Combro,Kuliner,Makanan gorengan berbasis singkong dengan isi oncom.,Bandung,4.7,Jawa Barat
Angklung,Musik,Alat musik bambu khas Sunda yang dimainkan dengan digetarkan.,Bandung,3.8,Jawa Barat
Wayang Golek,Kesenian,Pertunjukan wayang kayu khas Sunda dengan cerita epik.,Bandung,4.7,Jawa Barat
Jaipong,Tari,Tarian energik khas Jawa Barat dengan musik kendang.,Karawang,5,Jawa Barat
Batik Garut,Kerajinan,Batik khas Garut dengan motif elegan dan warna lembut.,Garut,5,Jawa Barat
Sisingaan,Tradisi,Pertunjukan mengarak boneka singa di atas bahu.,Subang,4.8,Jawa Barat
Doclang,Kuliner,Makanan khas Bogor berbasis lontong dengan bumbu kacang.,Bogor,4.7,Jawa Barat
Seren Taun,Tradisi,Upacara adat Sunda sebagai ungkapan syukur atas panen.,Kuningan,3.9,Jawa Barat
Combro,Kuliner,Makanan gorengan berbasis singkong dengan isi oncom.,Bandung,4,Jawa Barat
Angklung,Musik,Alat musik bambu khas Sunda yang dimainkan dengan digetarkan.,Bandung,4.6,Jawa Barat
Wayang Golek,Kesenian,Pertunjukan wayang kayu khas Sunda dengan cerita epik.,Bandung,4.8,Jawa Barat
Jaipong,Tari,Tarian energik khas Jawa Barat dengan musik kendang.,Karawang,4.4,Jawa Barat
Batik Garut,Kerajinan,Batik khas Garut dengan motif elegan dan warna lembut.,Garut,4.9,Jawa Barat
Sisingaan,Tradisi,Pertunjukan mengarak boneka singa di atas bahu.,Subang,5,Jawa Barat
Doclang,Kuliner,Makanan khas Bogor berbasis lontong dengan bumbu kacang.,Bogor,4.5,Jawa Barat
Seren Taun,Tradisi,Upacara adat Sunda sebagai ungkapan syukur atas panen.,Kuningan,4.8,Jawa Barat
Combro,Kuliner,Makanan gorengan berbasis singkong dengan isi oncom.,Bandung,4.9,Jawa Barat
Angklung,Musik,Alat musik bambu khas Sunda yang dimainkan dengan digetarkan.,Bandung,4.6,Jawa Barat
Wayang Golek,Kesenian,Pertunjukan wayang kayu khas Sunda dengan cerita epik.,Bandung,4.7,Jawa Barat
Jaipong,Tari,Tarian energik khas Jawa Barat dengan musik kendang.,Karawang,4.1,Jawa Barat
Batik Garut,Kerajinan,Batik khas Garut dengan motif elegan dan warna lembut.,Garut,3.7,Jawa Barat
Sisingaan,Tradisi,Pertunjukan mengarak boneka singa di atas bahu.,Subang,4.2,Jawa Barat
Doclang,Kuliner,Makanan khas Bogor berbasis lontong dengan bumbu kacang.,Bogor,3.6,Jawa Barat
Seren Taun,Tradisi,Upacara adat Sunda sebagai ungkapan syukur atas panen.,Kuningan,4.2,Jawa Barat
Combro,Kuliner,Makanan gorengan berbasis singkong dengan isi oncom.,Bandung,4,Jawa Barat
Angklung,Musik,Alat musik bambu khas Sunda yang dimainkan dengan digetarkan.,Bandung,4.3,Jawa Barat
Wayang Golek,Kesenian,Pertunjukan wayang kayu khas Sunda dengan cerita epik.,Bandung,4.1,Jawa Barat
Jaipong,Tari,Tarian energik khas Jawa Barat dengan musik kendang.,Karawang,3.7,Jawa Barat
Batik Garut,Kerajinan,Batik khas Garut dengan motif elegan dan warna lembut.,Garut,4.7,Jawa Barat
Sisingaan,Tradisi,Pertunjukan mengarak boneka singa di atas bahu.,Subang,3.9,Jawa Barat
Doclang,Kuliner,Makanan khas Bogor berbasis lontong dengan bumbu kacang.,Bogor,4.5,Jawa Barat
Seren Taun,Tradisi,Upacara adat Sunda sebagai ungkapan syukur atas panen.,Kuningan,4.2,Jawa Barat
Combro,Kuliner,Makanan gorengan berbasis singkong dengan isi oncom.,Bandung,3.9,Jawa Barat
Angklung,Musik,Alat musik bambu khas Sunda yang dimainkan dengan digetarkan.,Bandung,3.9,Jawa Barat
Wayang Golek,Kesenian,Pertunjukan wayang kayu khas Sunda dengan cerita epik.,Bandung,4.7,Jawa Barat
Jaipong,Tari,Tarian energik khas Jawa Barat dengan musik kendang.,Karawang,4.9,Jawa Barat
Batik Garut,Kerajinan,Batik khas Garut dengan motif elegan dan warna lembut.,Garut,4.5,Jawa Barat
Sisingaan,Tradisi,Pertunjukan mengarak boneka singa di atas bahu.,Subang,4.8,Jawa Barat
Doclang,Kuliner,Makanan khas Bogor berbasis lontong dengan bumbu kacang.,Bogor,4.1,Jawa Barat
Seren Taun,Tradisi,Upacara adat Sunda sebagai ungkapan syukur atas panen.,Kuningan,4.2,Jawa Barat
Combro,Kuliner,Makanan gorengan berbasis singkong dengan isi oncom.,Bandung,4.6,Jawa Barat
Angklung,Musik,Alat musik bambu khas Sunda yang dimainkan dengan digetarkan.,Bandung,4.1,Jawa Barat
Wayang Golek,Kesenian,Pertunjukan wayang kayu khas Sunda dengan cerita epik.,Bandung,4.1,Jawa Barat
Jaipong,Tari,Tarian energik khas Jawa Barat dengan musik kendang.,Karawang,3.5,Jawa Barat
Batik Garut,Kerajinan,Batik khas Garut dengan motif elegan dan warna lembut.,Garut,4.1,Jawa Barat
Sisingaan,Tradisi,Pertunjukan mengarak boneka singa di atas bahu.,Subang,4.1,Jawa Barat
Doclang,Kuliner,Makanan khas Bogor berbasis lontong dengan bumbu kacang.,Bogor,3.6,Jawa Barat
Seren Taun,Tradisi,Upacara adat Sunda sebagai ungkapan syukur atas panen.,Kuningan,4.6,Jawa Barat
Combro,Kuliner,Makanan gorengan berbasis singkong dengan isi oncom.,Bandung,4.1,Jawa Barat
Angklung,Musik,Alat musik bambu khas Sunda yang dimainkan dengan digetarkan.,Bandung,3.5,Jawa Barat
Wayang Golek,Kesenian,Pertunjukan wayang kayu khas Sunda dengan cerita epik.,Bandung,3.8,Jawa Barat
Jaipong,Tari,Tarian energik khas Jawa Barat dengan musik kendang.,Karawang,3.9,Jawa Barat
Batik Garut,Kerajinan,Batik khas Garut dengan motif elegan dan warna lembut.,Garut,3.9,Jawa Barat
Sisingaan,Tradisi,Pertunjukan mengarak boneka singa di atas bahu.,Subang,3.5,Jawa Barat
Doclang,Kuliner,Makanan khas Bogor berbasis lontong dengan bumbu kacang.,Bogor,4.9,Jawa Barat
Seren Taun,Tradisi,Upacara adat Sunda sebagai ungkapan syukur atas panen.,Kuningan,4.3,Jawa Barat
Combro,Kuliner,Makanan gorengan berbasis singkong dengan isi oncom.,Bandung,3.6,Jawa Barat
Angklung,Musik,Alat musik bambu khas Sunda yang dimainkan dengan digetarkan.,Bandung,4.9,Jawa Barat
Wayang Golek,Kesenian,Pertunjukan wayang kayu khas Sunda dengan cerita epik.,Bandung,4.9,Jawa Barat
Jaipong,Tari,Tarian energik khas Jawa Barat dengan musik kendang.,Karawang,3.5,Jawa Barat
Batik Garut,Kerajinan,Batik khas Garut dengan motif elegan dan warna lembut.,Garut,3.9,Jawa Barat
Sisingaan,Tradisi,Pertunjukan mengarak boneka singa di atas bahu.,Subang,4.3,Jawa Barat
Doclang,Kuliner,Makanan khas Bogor berbasis lontong dengan bumbu kacang.,Bogor,4.4,Jawa Barat
Seren Taun,Tradisi,Upacara adat Sunda sebagai ungkapan syukur atas panen.,Kuningan,3.8,Jawa Barat
Combro,Kuliner,Makanan gorengan berbasis singkong dengan isi oncom.,Bandung,4.8,Jawa Barat
Angklung,Musik,Alat musik bambu khas Sunda yang dimainkan dengan digetarkan.,Bandung,5,Jawa Barat
Wayang Golek,Kesenian,Pertunjukan wayang kayu khas Sunda dengan cerita epik.,Bandung,4.1,Jawa Barat
Jaipong,Tari,Tarian energik khas Jawa Barat dengan musik kendang.,Karawang,3.8,Jawa Barat
Batik Garut,Kerajinan,Batik khas Garut dengan motif elegan dan warna lembut.,Garut,5,Jawa Barat
Sisingaan,Tradisi,Pertunjukan mengarak boneka singa di atas bahu.,Subang,3.6,Jawa Barat
Doclang,Kuliner,Makanan khas Bogor berbasis lontong dengan bumbu kacang.,Bogor,5,Jawa Barat
Seren Taun,Tradisi,Upacara adat Sunda sebagai ungkapan syukur atas panen.,Kuningan,4.2,Jawa Barat
Combro,Kuliner,Makanan gorengan berbasis singkong dengan isi oncom.,Bandung,4.3,Jawa Barat
