Budaya,Jenis,Deskripsi,Kota,Provinsi,Rating
Grebeg Sudiro Klasik,Tradisi,Perayaan Imlek dan Jawa bersatu. Varian budaya ke-436.,Solo,Jawa Tengah,4.1
Reog Ponorogo Modern,Kesenian,Pertunjukan dengan topeng barong besar. Varian budaya ke-437.,Ponorogo,Jawa Timur,3.8
Tari Remo Tradisi,Tari,Tari penyambutan tamu kehormatan. Varian budaya ke-438.,Jombang,Jawa Timur,4.8
Ludruk Versi A,Kesenian,Teater tradisional berbahasa Jawa Timuran. Varian budaya ke-439.,Surabaya,Jawa Timur,3.6
Karapan Sapi Versi B,Tradisi,Balap sapi khas Madura. Varian budaya ke-440.,Sumenep,Jawa Timur,4
Tari Jaranan Buto I,Tari,Tarian dengan topeng raksasa khas Banyuwangi. Varian budaya ke-441.,Banyuwangi,Jawa Timur,3.7
Sate Madura II,Kuliner,Sate ayam/kambing dengan bumbu kacang. Varian budaya ke-442.,Pamekasan,Jawa Timur,3.9
Rujak Cingur III,Kuliner,Salad tradisional dengan irisan cingur. Varian budaya ke-443.,Surabaya,Jawa Timur,4.7
Batik Madura Baru,Kerajinan,Batik berwarna cerah dengan motif khas. Varian budaya ke-444.,Bangkalan,Jawa Timur,4.5
Debus Asli,Tradisi,Pertunjukan kekebalan tubuh ekstrem. Varian budaya ke-445.,Serang,Banten,4.9
Rampak Bedug Klasik,Musik,Pertunjukan sinkronisasi bedug besar. Varian budaya ke-446.,Pandeglang,Banten,4
Tari Cokek Modern,Tari,Tari pergaulan khas etnis Tionghoa-Banten. Varian budaya ke-447.,Tangerang,Banten,4.8
Uli Sera Tradisi,Kuliner,Makanan khas Baduy dari ketan dan kelapa. Varian budaya ke-448.,Lebak,Banten,4.6
Kue Jojorong Versi A,Kuliner,Kue basah manis dari tepung beras dan gula merah. Varian budaya ke-449.,Pandeglang,Banten,4.8
Tari Bedhaya Versi B,Tari,Tari sakral keraton dengan gerakan lambat. Varian budaya ke-450.,Yogyakarta,DI Yogyakarta,3.9
Wayang Orang I,Kesenian,Pertunjukan wayang yang diperankan oleh manusia. Varian budaya ke-451.,Yogyakarta,DI Yogyakarta,4
Batik Jogja II,Kerajinan,Batik khas dengan warna hitam putih dan motif keraton. Varian budaya ke-452.,Yogyakarta,DI Yogyakarta,4.1
Gudeg III,Kuliner,Makanan manis dari nangka muda. Varian budaya ke-453.,Yogyakarta,DI Yogyakarta,4
Geplak Baru,Kuliner,Permen kelapa warna-warni khas Jogja. Varian budaya ke-454.,Bantul,DI Yogyakarta,3.8
Tari Kecak Asli,Tari,Tari dengan suara vokal 'cak' tanpa alat musik. Varian budaya ke-455.,Gianyar,Bali,3.9
Tari Barong Klasik,Tari,Tari pertarungan kebaikan dan kejahatan. Varian budaya ke-456.,Gianyar,Bali,4.8
Ogoh-ogoh Modern,Tradisi,Patung raksasa diarak menjelang Nyepi. Varian budaya ke-457.,Denpasar,Bali,4.9
Subak Tradisi,Tradisi,Sistem irigasi tradisional Bali berbasis spiritual. Varian budaya ke-458.,Tabanan,Bali,3.9
Canang Sari Versi A,Tradisi,Persembahan harian masyarakat Hindu Bali. Varian budaya ke-459.,Ubud,Bali,3.7
Tari Legong Versi B,Tari,Tari klasik dengan gerakan halus dan rumit. Varian budaya ke-460.,Ubud,Bali,4.3
Bebek Betutu I,Kuliner,Bebek berbumbu khas yang dimasak lama. Varian budaya ke-461.,Gianyar,Bali,4.1
Loloh Cemcem II,Kuliner,Minuman herbal dari daun cemcem. Varian budaya ke-462.,Karangasem,Bali,4.2
Angklung III,Musik,Alat musik bambu khas Sunda yang digetarkan. Varian budaya ke-463.,Bandung,Jawa Barat,4.1
Wayang Golek Baru,Kesenian,Wayang boneka kayu khas Sunda. Varian budaya ke-464.,Bandung,Jawa Barat,4.2
Jaipongan Asli,Tari,Tari energik dengan irama kendang dan gerakan dinamis. Varian budaya ke-465.,Karawang,Jawa Barat,5
Tari Topeng Cirebon Klasik,Tari,Tarian topeng dengan karakter khas daerah Cirebon. Varian budaya ke-466.,Cirebon,Jawa Barat,4.6
Seren Taun Modern,Tradisi,Upacara syukur panen masyarakat Sunda. Varian budaya ke-467.,Kuningan,Jawa Barat,4.8
Sisingaan Tradisi,Tradisi,Pertunjukan arak-arakan anak menaiki singa mainan. Varian budaya ke-468.,Subang,Jawa Barat,3.6
Comro Versi A,Kuliner,Gorengan berbahan singkong isi oncom. Varian budaya ke-469.,Bandung,Jawa Barat,4.4
Batik Ciamis Versi B,Kerajinan,Batik khas Ciamis dengan motif flora fauna. Varian budaya ke-470.,Ciamis,Jawa Barat,3.5
Tari Gambyong I,Tari,Tari klasik Jawa dengan gerakan lembut. Varian budaya ke-471.,Surakarta,Jawa Tengah,3.6
Batik Solo II,Kerajinan,Batik dengan motif keraton yang klasik. Varian budaya ke-472.,Solo,Jawa Tengah,4.1
Tari Lengger III,Tari,Tari Banyumasan dengan iringan gamelan. Varian budaya ke-473.,Banyumas,Jawa Tengah,4.1
Ebeg Baru,Kesenian,Kuda lumping khas Banyumas. Varian budaya ke-474.,Banyumas,Jawa Tengah,4.6
Wayang Kulit Asli,Kesenian,Pertunjukan bayangan dari boneka kulit. Varian budaya ke-475.,Surakarta,Jawa Tengah,4.5
Gunungan Klasik,Tradisi,Simbol hasil bumi yang diarak saat Grebeg. Varian budaya ke-476.,Yogyakarta,DI Yogyakarta,4.3
Lumpia Semarang Modern,Kuliner,Lumpia isi rebung khas Semarang. Varian budaya ke-477.,Semarang,Jawa Tengah,3.8
Grebeg Sudiro Tradisi,Tradisi,Perayaan Imlek dan Jawa bersatu. Varian budaya ke-478.,Solo,Jawa Tengah,3.8
Reog Ponorogo Versi A,Kesenian,Pertunjukan dengan topeng barong besar. Varian budaya ke-479.,Ponorogo,Jawa Timur,4.9
Tari Remo Versi B,Tari,Tari penyambutan tamu kehormatan. Varian budaya ke-480.,Jombang,Jawa Timur,4.9
Ludruk I,Kesenian,Teater tradisional berbahasa Jawa Timuran. Varian budaya ke-481.,Surabaya,Jawa Timur,4.2
Karapan Sapi II,Tradisi,Balap sapi khas Madura. Varian budaya ke-482.,Sumenep,Jawa Timur,4
Tari Jaranan Buto III,Tari,Tarian dengan topeng raksasa khas Banyuwangi. Varian budaya ke-483.,Banyuwangi,Jawa Timur,4
Sate Madura Baru,Kuliner,Sate ayam/kambing dengan bumbu kacang. Varian budaya ke-484.,Pamekasan,Jawa Timur,5
Rujak Cingur Asli,Kuliner,Salad tradisional dengan irisan cingur. Varian budaya ke-485.,Surabaya,Jawa Timur,4.8
Batik Madura Klasik,Kerajinan,Batik berwarna cerah dengan motif khas. Varian budaya ke-486.,Bangkalan,Jawa Timur,4.6
Debus Modern,Tradisi,Pertunjukan kekebalan tubuh ekstrem. Varian budaya ke-487.,Serang,Banten,5
Rampak Bedug Tradisi,Musik,Pertunjukan sinkronisasi bedug besar. Varian budaya ke-488.,Pandeglang,Banten,3.8
Tari Cokek Versi A,Tari,Tari pergaulan khas etnis Tionghoa-Banten. Varian budaya ke-489.,Tangerang,Banten,4.7
Uli Sera Versi B,Kuliner,Makanan khas Baduy dari ketan dan kelapa. Varian budaya ke-490.,Lebak,Banten,4.7
Kue Jojorong I,Kuliner,Kue basah manis dari tepung beras dan gula merah. Varian budaya ke-491.,Pandeglang,Banten,3.8
Tari Bedhaya II,Tari,Tari sakral keraton dengan gerakan lambat. Varian budaya ke-492.,Yogyakarta,DI Yogyakarta,3.9
Wayang Orang III,Kesenian,Pertunjukan wayang yang diperankan oleh manusia. Varian budaya ke-493.,Yogyakarta,DI Yogyakarta,3.8
Batik Jogja Baru,Kerajinan,Batik khas dengan warna hitam putih dan motif keraton. Varian budaya ke-494.,Yogyakarta,DI Yogyakarta,4.6
Gudeg Asli,Kuliner,Makanan manis dari nangka muda. Varian budaya ke-495.,Yogyakarta,DI Yogyakarta,3.9
Geplak Klasik,Kuliner,Permen kelapa warna-warni khas Jogja. Varian budaya ke-496.,Bantul,DI Yogyakarta,3.6
Tari Kecak Modern,Tari,Tari dengan suara vokal 'cak' tanpa alat musik. Varian budaya ke-497.,Gianyar,Bali,3.8
Tari Barong Tradisi,Tari,Tari pertarungan kebaikan dan kejahatan. Varian budaya ke-498.,Gianyar,Bali,4.1
Ogoh-ogoh Versi A,Tradisi,Patung raksasa diarak menjelang Nyepi. Varian budaya ke-499.,Denpasar,Bali,3.6
Subak Versi B,Tradisi,Sistem irigasi tradisional Bali berbasis spiritual. Varian budaya ke-500.,Tabanan,Bali,3.7
Canang Sari I,Tradisi,Persembahan harian masyarakat Hindu Bali. Varian budaya ke-501.,Ubud,Bali,3.9
Tari Legong II,Tari,Tari klasik dengan gerakan halus dan rumit. Varian budaya ke-502.,Ubud,Bali,4
Bebek Betutu III,Kuliner,Bebek berbumbu khas yang dimasak lama. Varian budaya ke-503.,Gianyar,Bali,4.9
Loloh Cemcem Baru,Kuliner,Minuman herbal dari daun cemcem. Varian budaya ke-504.,Karangasem,Bali,5
Angklung Asli,Musik,Alat musik bambu khas Sunda yang digetarkan. Varian budaya ke-505.,Bandung,Jawa Barat,4.7
Wayang Golek Klasik,Kesenian,Wayang boneka kayu khas Sunda. Varian budaya ke-506.,Bandung,Jawa Barat,4
Jaipongan Modern,Tari,Tari energik dengan irama kendang dan gerakan dinamis. Varian budaya ke-507.,Karawang,Jawa Barat,4.3
Tari Topeng Cirebon Tradisi,Tari,Tarian topeng dengan karakter khas daerah Cirebon. Varian budaya ke-508.,Cirebon,Jawa Barat,4.9
Seren Taun Versi A,Tradisi,Upacara syukur panen masyarakat Sunda. Varian budaya ke-509.,Kuningan,Jawa Barat,4.7
Sisingaan Versi B,Tradisi,Pertunjukan arak-arakan anak menaiki singa mainan. Varian budaya ke-510.,Subang,Jawa Barat,4.4
Comro I,Kuliner,Gorengan berbahan singkong isi oncom. Varian budaya ke-511.,Bandung,Jawa Barat,3.8
Batik Ciamis II,Kerajinan,Batik khas Ciamis dengan motif flora fauna. Varian budaya ke-512.,Ciamis,Jawa Barat,4.6
Tari Gambyong III,Tari,Tari klasik Jawa dengan gerakan lembut. Varian budaya ke-513.,Surakarta,Jawa Tengah,4.5
Batik Solo Baru,Kerajinan,Batik dengan motif keraton yang klasik. Varian budaya ke-514.,Solo,Jawa Tengah,4.3
Tari Lengger Asli,Tari,Tari Banyumasan dengan iringan gamelan. Varian budaya ke-515.,Banyumas,Jawa Tengah,4
Ebeg Klasik,Kesenian,Kuda lumping khas Banyumas. Varian budaya ke-516.,Banyumas,Jawa Tengah,4.3
Wayang Kulit Modern,Kesenian,Pertunjukan bayangan dari boneka kulit. Varian budaya ke-517.,Surakarta,Jawa Tengah,4.5
Gunungan Tradisi,Tradisi,Simbol hasil bumi yang diarak saat Grebeg. Varian budaya ke-518.,Yogyakarta,DI Yogyakarta,3.9
Lumpia Semarang Versi A,Kuliner,Lumpia isi rebung khas Semarang. Varian budaya ke-519.,Semarang,Jawa Tengah,3.6
Grebeg Sudiro Versi B,Tradisi,Perayaan Imlek dan Jawa bersatu. Varian budaya ke-520.,Solo,Jawa Tengah,3.8
Reog Ponorogo I,Kesenian,Pertunjukan dengan topeng barong besar. Varian budaya ke-521.,Ponorogo,Jawa Timur,5
Tari Remo II,Tari,Tari penyambutan tamu kehormatan. Varian budaya ke-522.,Jombang,Jawa Timur,4.8
Ludruk III,Kesenian,Teater tradisional berbahasa Jawa Timuran. Varian budaya ke-523.,Surabaya,Jawa Timur,4.5
Karapan Sapi Baru,Tradisi,Balap sapi khas Madura. Varian budaya ke-524.,Sumenep,Jawa Timur,4.7
Tari Jaranan Buto Asli,Tari,Tarian dengan topeng raksasa khas Banyuwangi. Varian budaya ke-525.,Banyuwangi,Jawa Timur,3.6
Sate Madura Klasik,Kuliner,Sate ayam/kambing dengan bumbu kacang. Varian budaya ke-526.,Pamekasan,Jawa Timur,3.8
Rujak Cingur Modern,Kuliner,Salad tradisional dengan irisan cingur. Varian budaya ke-527.,Surabaya,Jawa Timur,4.2
Batik Madura Tradisi,Kerajinan,Batik berwarna cerah dengan motif khas. Varian budaya ke-528.,Bangkalan,Jawa Timur,4.9
Debus Versi A,Tradisi,Pertunjukan kekebalan tubuh ekstrem. Varian budaya ke-529.,Serang,Banten,3.7
Rampak Bedug Versi B,Musik,Pertunjukan sinkronisasi bedug besar. Varian budaya ke-530.,Pandeglang,Banten,4.5
Tari Cokek I,Tari,Tari pergaulan khas etnis Tionghoa-Banten. Varian budaya ke-531.,Tangerang,Banten,3.8
Uli Sera II,Kuliner,Makanan khas Baduy dari ketan dan kelapa. Varian budaya ke-532.,Lebak,Banten,4.8
Kue Jojorong III,Kuliner,Kue basah manis dari tepung beras dan gula merah. Varian budaya ke-533.,Pandeglang,Banten,4.8
Tari Bedhaya Baru,Tari,Tari sakral keraton dengan gerakan lambat. Varian budaya ke-534.,Yogyakarta,DI Yogyakarta,4
Wayang Orang Asli,Kesenian,Pertunjukan wayang yang diperankan oleh manusia. Varian budaya ke-535.,Yogyakarta,DI Yogyakarta,3.6
Batik Jogja Klasik,Kerajinan,Batik khas dengan warna hitam putih dan motif keraton. Varian budaya ke-536.,Yogyakarta,DI Yogyakarta,4.9
Gudeg Modern,Kuliner,Makanan manis dari nangka muda. Varian budaya ke-537.,Yogyakarta,DI Yogyakarta,3.8
Geplak Tradisi,Kuliner,Permen kelapa warna-warni khas Jogja. Varian budaya ke-538.,Bantul,DI Yogyakarta,4.1
Tari Kecak Versi A,Tari,Tari dengan suara vokal 'cak' tanpa alat musik. Varian budaya ke-539.,Gianyar,Bali,4.8
Tari Barong Versi B,Tari,Tari pertarungan kebaikan dan kejahatan. Varian budaya ke-540.,Gianyar,Bali,4.9
Ogoh-ogoh I,Tradisi,Patung raksasa diarak menjelang Nyepi. Varian budaya ke-541.,Denpasar,Bali,4.2
Subak II,Tradisi,Sistem irigasi tradisional Bali berbasis spiritual. Varian budaya ke-542.,Tabanan,Bali,4.7
Canang Sari III,Tradisi,Persembahan harian masyarakat Hindu Bali. Varian budaya ke-543.,Ubud,Bali,4.1
Tari Legong Baru,Tari,Tari klasik dengan gerakan halus dan rumit. Varian budaya ke-544.,Ubud,Bali,4.6
Bebek Betutu Asli,Kuliner,Bebek berbumbu khas yang dimasak lama. Varian budaya ke-545.,Gianyar,Bali,4.3
Loloh Cemcem Klasik,Kuliner,Minuman herbal dari daun cemcem. Varian budaya ke-546.,Karangasem,Bali,4.6
Angklung Modern,Musik,Alat musik bambu khas Sunda yang digetarkan. Varian budaya ke-547.,Bandung,Jawa Barat,4.4
Wayang Golek Tradisi,Kesenian,Wayang boneka kayu khas Sunda. Varian budaya ke-548.,Bandung,Jawa Barat,3.6
Jaipongan Versi A,Tari,Tari energik dengan irama kendang dan gerakan dinamis. Varian budaya ke-549.,Karawang,Jawa Barat,3.7
Tari Topeng Cirebon Versi B,Tari,Tarian topeng dengan karakter khas daerah Cirebon. Varian budaya ke-550.,Cirebon,Jawa Barat,4
Seren Taun I,Tradisi,Upacara syukur panen masyarakat Sunda. Varian budaya ke-551.,Kuningan,Jawa Barat,4.5
Sisingaan II,Tradisi,Pertunjukan arak-arakan anak menaiki singa mainan. Varian budaya ke-552.,Subang,Jawa Barat,4.3
Comro III,Kuliner,Gorengan berbahan singkong isi oncom. Varian budaya ke-553.,Bandung,Jawa Barat,4.7
Batik Ciamis Baru,Kerajinan,Batik khas Ciamis dengan motif flora fauna. Varian budaya ke-554.,Ciamis,Jawa Barat,4.2
Tari Gambyong Asli,Tari,Tari klasik Jawa dengan gerakan lembut. Varian budaya ke-555.,Surakarta,Jawa Tengah,4
Batik Solo Klasik,Kerajinan,Batik dengan motif keraton yang klasik. Varian budaya ke-556.,Solo,Jawa Tengah,4.5
Tari Lengger Modern,Tari,Tari Banyumasan dengan iringan gamelan. Varian budaya ke-557.,Banyumas,Jawa Tengah,3.7
Ebeg Tradisi,Kesenian,Kuda lumping khas Banyumas. Varian budaya ke-558.,Banyumas,Jawa Tengah,4.4
Wayang Kulit Versi A,Kesenian,Pertunjukan bayangan dari boneka kulit. Varian budaya ke-559.,Surakarta,Jawa Tengah,4.4
Gunungan Versi B,Tradisi,Simbol hasil bumi yang diarak saat Grebeg. Varian budaya ke-560.,Yogyakarta,DI Yogyakarta,4.8
Lumpia Semarang I,Kuliner,Lumpia isi rebung khas Semarang. Varian budaya ke-561.,Semarang,Jawa Tengah,3.6
Grebeg Sudiro II,Tradisi,Perayaan Imlek dan Jawa bersatu. Varian budaya ke-562.,Solo,Jawa Tengah,4.5
Reog Ponorogo III,Kesenian,Pertunjukan dengan topeng barong besar. Varian budaya ke-563.,Ponorogo,Jawa Timur,4.4
Tari Remo Baru,Tari,Tari penyambutan tamu kehormatan. Varian budaya ke-564.,Jombang,Jawa Timur,4.9
Ludruk Asli,Kesenian,Teater tradisional berbahasa Jawa Timuran. Varian budaya ke-565.,Surabaya,Jawa Timur,4
Karapan Sapi Klasik,Tradisi,Balap sapi khas Madura. Varian budaya ke-566.,Sumenep,Jawa Timur,4.1
Tari Jaranan Buto Modern,Tari,Tarian dengan topeng raksasa khas Banyuwangi. Varian budaya ke-567.,Banyuwangi,Jawa Timur,3.6
Sate Madura Tradisi,Kuliner,Sate ayam/kambing dengan bumbu kacang. Varian budaya ke-568.,Pamekasan,Jawa Timur,4.2
Rujak Cingur Versi A,Kuliner,Salad tradisional dengan irisan cingur. Varian budaya ke-569.,Surabaya,Jawa Timur,4.4
Batik Madura Versi B,Kerajinan,Batik berwarna cerah dengan motif khas. Varian budaya ke-570.,Bangkalan,Jawa Timur,4.9
Debus I,Tradisi,Pertunjukan kekebalan tubuh ekstrem. Varian budaya ke-571.,Serang,Banten,4.1
Rampak Bedug II,Musik,Pertunjukan sinkronisasi bedug besar. Varian budaya ke-572.,Pandeglang,Banten,3.9
Tari Cokek III,Tari,Tari pergaulan khas etnis Tionghoa-Banten. Varian budaya ke-573.,Tangerang,Banten,4
Uli Sera Baru,Kuliner,Makanan khas Baduy dari ketan dan kelapa. Varian budaya ke-574.,Lebak,Banten,4.8
Kue Jojorong Asli,Kuliner,Kue basah manis dari tepung beras dan gula merah. Varian budaya ke-575.,Pandeglang,Banten,3.5
Tari Bedhaya Klasik,Tari,Tari sakral keraton dengan gerakan lambat. Varian budaya ke-576.,Yogyakarta,DI Yogyakarta,4.8
Wayang Orang Modern,Kesenian,Pertunjukan wayang yang diperankan oleh manusia. Varian budaya ke-577.,Yogyakarta,DI Yogyakarta,3.5
Batik Jogja Tradisi,Kerajinan,Batik khas dengan warna hitam putih dan motif keraton. Varian budaya ke-578.,Yogyakarta,DI Yogyakarta,4.2
Gudeg Versi A,Kuliner,Makanan manis dari nangka muda. Varian budaya ke-579.,Yogyakarta,DI Yogyakarta,3.6
Geplak Versi B,Kuliner,Permen kelapa warna-warni khas Jogja. Varian budaya ke-580.,Bantul,DI Yogyakarta,4.5
Tari Kecak I,Tari,Tari dengan suara vokal 'cak' tanpa alat musik. Varian budaya ke-581.,Gianyar,Bali,3.9
Tari Barong II,Tari,Tari pertarungan kebaikan dan kejahatan. Varian budaya ke-582.,Gianyar,Bali,4.4
Ogoh-ogoh III,Tradisi,Patung raksasa diarak menjelang Nyepi. Varian budaya ke-583.,Denpasar,Bali,4.8
Subak Baru,Tradisi,Sistem irigasi tradisional Bali berbasis spiritual. Varian budaya ke-584.,Tabanan,Bali,3.9
Canang Sari Asli,Tradisi,Persembahan harian masyarakat Hindu Bali. Varian budaya ke-585.,Ubud,Bali,4
Tari Legong Klasik,Tari,Tari klasik dengan gerakan halus dan rumit. Varian budaya ke-586.,Ubud,Bali,3.8
Bebek Betutu Modern,Kuliner,Bebek berbumbu khas yang dimasak lama. Varian budaya ke-587.,Gianyar,Bali,3.7
Loloh Cemcem Tradisi,Kuliner,Minuman herbal dari daun cemcem. Varian budaya ke-588.,Karangasem,Bali,4
Angklung Versi A,Musik,Alat musik bambu khas Sunda yang digetarkan. Varian budaya ke-589.,Bandung,Jawa Barat,3.9
Wayang Golek Versi B,Kesenian,Wayang boneka kayu khas Sunda. Varian budaya ke-590.,Bandung,Jawa Barat,4.7
Jaipongan I,Tari,Tari energik dengan irama kendang dan gerakan dinamis. Varian budaya ke-591.,Karawang,Jawa Barat,4.9
Tari Topeng Cirebon II,Tari,Tarian topeng dengan karakter khas daerah Cirebon. Varian budaya ke-592.,Cirebon,Jawa Barat,3.8
Seren Taun III,Tradisi,Upacara syukur panen masyarakat Sunda. Varian budaya ke-593.,Kuningan,Jawa Barat,4.2
Sisingaan Baru,Tradisi,Pertunjukan arak-arakan anak menaiki singa mainan. Varian budaya ke-594.,Subang,Jawa Barat,3.9
Comro Asli,Kuliner,Gorengan berbahan singkong isi oncom. Varian budaya ke-595.,Bandung,Jawa Barat,4.9
Batik Ciamis Klasik,Kerajinan,Batik khas Ciamis dengan motif flora fauna. Varian budaya ke-596.,Ciamis,Jawa Barat,4.6
Tari Gambyong Modern,Tari,Tari klasik Jawa dengan gerakan lembut. Varian budaya ke-597.,Surakarta,Jawa Tengah,3.5
Batik Solo Tradisi,Kerajinan,Batik dengan motif keraton yang klasik. Varian budaya ke-598.,Solo,Jawa Tengah,4.2
Tari Lengger Versi A,Tari,Tari Banyumasan dengan iringan gamelan. Varian budaya ke-599.,Banyumas,Jawa Tengah,4.9
Ebeg Versi B,Kesenian,Kuda lumping khas Banyumas. Varian budaya ke-600.,Banyumas,Jawa Tengah,3.7
Wayang Kulit I,Kesenian,Pertunjukan bayangan dari boneka kulit. Varian budaya ke-601.,Surakarta,Jawa Tengah,4.7
Gunungan II,Tradisi,Simbol hasil bumi yang diarak saat Grebeg. Varian budaya ke-602.,Yogyakarta,DI Yogyakarta,3.7
Lumpia Semarang III,Kuliner,Lumpia isi rebung khas Semarang. Varian budaya ke-603.,Semarang,Jawa Tengah,4.3
Grebeg Sudiro Baru,Tradisi,Perayaan Imlek dan Jawa bersatu. Varian budaya ke-604.,Solo,Jawa Tengah,4.4
Reog Ponorogo Asli,Kesenian,Pertunjukan dengan topeng barong besar. Varian budaya ke-605.,Ponorogo,Jawa Timur,4.4
Tari Remo Klasik,Tari,Tari penyambutan tamu kehormatan. Varian budaya ke-606.,Jombang,Jawa Timur,4.7
Ludruk Modern,Kesenian,Teater tradisional berbahasa Jawa Timuran. Varian budaya ke-607.,Surabaya,Jawa Timur,4.2
Karapan Sapi Tradisi,Tradisi,Balap sapi khas Madura. Varian budaya ke-608.,Sumenep,Jawa Timur,3.7
Tari Jaranan Buto Versi A,Tari,Tarian dengan topeng raksasa khas Banyuwangi. Varian budaya ke-609.,Banyuwangi,Jawa Timur,3.5
Sate Madura Versi B,Kuliner,Sate ayam/kambing dengan bumbu kacang. Varian budaya ke-610.,Pamekasan,Jawa Timur,4.3
Rujak Cingur I,Kuliner,Salad tradisional dengan irisan cingur. Varian budaya ke-611.,Surabaya,Jawa Timur,4
Batik Madura II,Kerajinan,Batik berwarna cerah dengan motif khas. Varian budaya ke-612.,Bangkalan,Jawa Timur,4.3
Debus III,Tradisi,Pertunjukan kekebalan tubuh ekstrem. Varian budaya ke-613.,Serang,Banten,3.9
Rampak Bedug Baru,Musik,Pertunjukan sinkronisasi bedug besar. Varian budaya ke-614.,Pandeglang,Banten,4.5
Tari Cokek Asli,Tari,Tari pergaulan khas etnis Tionghoa-Banten. Varian budaya ke-615.,Tangerang,Banten,4.5
Uli Sera Klasik,Kuliner,Makanan khas Baduy dari ketan dan kelapa. Varian budaya ke-616.,Lebak,Banten,3.8
Kue Jojorong Modern,Kuliner,Kue basah manis dari tepung beras dan gula merah. Varian budaya ke-617.,Pandeglang,Banten,4.2
Tari Bedhaya Tradisi,Tari,Tari sakral keraton dengan gerakan lambat. Varian budaya ke-618.,Yogyakarta,DI Yogyakarta,3.6
Wayang Orang Versi A,Kesenian,Pertunjukan wayang yang diperankan oleh manusia. Varian budaya ke-619.,Yogyakarta,DI Yogyakarta,4.2
Batik Jogja Versi B,Kerajinan,Batik khas dengan warna hitam putih dan motif keraton. Varian budaya ke-620.,Yogyakarta,DI Yogyakarta,3.9
Gudeg I,Kuliner,Makanan manis dari nangka muda. Varian budaya ke-621.,Yogyakarta,DI Yogyakarta,4
Geplak II,Kuliner,Permen kelapa warna-warni khas Jogja. Varian budaya ke-622.,Bantul,DI Yogyakarta,3.8
Tari Kecak III,Tari,Tari dengan suara vokal 'cak' tanpa alat musik. Varian budaya ke-623.,Gianyar,Bali,4.3
Tari Barong Baru,Tari,Tari pertarungan kebaikan dan kejahatan. Varian budaya ke-624.,Gianyar,Bali,4.8
Ogoh-ogoh Asli,Tradisi,Patung raksasa diarak menjelang Nyepi. Varian budaya ke-625.,Denpasar,Bali,4.9
Subak Klasik,Tradisi,Sistem irigasi tradisional Bali berbasis spiritual. Varian budaya ke-626.,Tabanan,Bali,4
Canang Sari Modern,Tradisi,Persembahan harian masyarakat Hindu Bali. Varian budaya ke-627.,Ubud,Bali,3.6
Tari Legong Tradisi,Tari,Tari klasik dengan gerakan halus dan rumit. Varian budaya ke-628.,Ubud,Bali,3.8
Bebek Betutu Versi A,Kuliner,Bebek berbumbu khas yang dimasak lama. Varian budaya ke-629.,Gianyar,Bali,5
Loloh Cemcem Versi B,Kuliner,Minuman herbal dari daun cemcem. Varian budaya ke-630.,Karangasem,Bali,4.3
Angklung I,Musik,Alat musik bambu khas Sunda yang digetarkan. Varian budaya ke-631.,Bandung,Jawa Barat,5
Wayang Golek II,Kesenian,Wayang boneka kayu khas Sunda. Varian budaya ke-632.,Bandung,Jawa Barat,4.3
Jaipongan III,Tari,Tari energik dengan irama kendang dan gerakan dinamis. Varian budaya ke-633.,Karawang,Jawa Barat,4.4
Tari Topeng Cirebon Baru,Tari,Tarian topeng dengan karakter khas daerah Cirebon. Varian budaya ke-634.,Cirebon,Jawa Barat,4.4
Seren Taun Asli,Tradisi,Upacara syukur panen masyarakat Sunda. Varian budaya ke-635.,Kuningan,Jawa Barat,3.8
Sisingaan Klasik,Tradisi,Pertunjukan arak-arakan anak menaiki singa mainan. Varian budaya ke-636.,Subang,Jawa Barat,3.7
Comro Modern,Kuliner,Gorengan berbahan singkong isi oncom. Varian budaya ke-637.,Bandung,Jawa Barat,4.9
Batik Ciamis Tradisi,Kerajinan,Batik khas Ciamis dengan motif flora fauna. Varian budaya ke-638.,Ciamis,Jawa Barat,4.6
Tari Gambyong Versi A,Tari,Tari klasik Jawa dengan gerakan lembut. Varian budaya ke-639.,Surakarta,Jawa Tengah,4.4
Batik Solo Versi B,Kerajinan,Batik dengan motif keraton yang klasik. Varian budaya ke-640.,Solo,Jawa Tengah,3.5
Tari Lengger I,Tari,Tari Banyumasan dengan iringan gamelan. Varian budaya ke-641.,Banyumas,Jawa Tengah,4.5
Ebeg II,Kesenian,Kuda lumping khas Banyumas. Varian budaya ke-642.,Banyumas,Jawa Tengah,3.5
Wayang Kulit III,Kesenian,Pertunjukan bayangan dari boneka kulit. Varian budaya ke-643.,Surakarta,Jawa Tengah,4.1
Gunungan Baru,Tradisi,Simbol hasil bumi yang diarak saat Grebeg. Varian budaya ke-644.,Yogyakarta,DI Yogyakarta,3.5
Lumpia Semarang Asli,Kuliner,Lumpia isi rebung khas Semarang. Varian budaya ke-645.,Semarang,Jawa Tengah,4.1
Grebeg Sudiro Klasik,Tradisi,Perayaan Imlek dan Jawa bersatu. Varian budaya ke-646.,Solo,Jawa Tengah,4.3
Reog Ponorogo Modern,Kesenian,Pertunjukan dengan topeng barong besar. Varian budaya ke-647.,Ponorogo,Jawa Timur,4.1
Tari Remo Tradisi,Tari,Tari penyambutan tamu kehormatan. Varian budaya ke-648.,Jombang,Jawa Timur,4
